time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Fluminense,2015,1,09/05/2015,21:00,Sábado,05,Joinville,Vitória,1,0,Mandante,Thiago Duarte Peixoto,26.3,5.2,181.5,5.9,28.5,4.3,180.4,4.9,Estádio do Maracanã
Fluminense,2015,2,17/05/2015,16:00,Domingo,05,Atlético Mineiro,Derrota,1,4,Visitante,Anderson Daronco,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Independência
Fluminense,2015,3,24/05/2015,16:00,Domingo,05,Corinthians,Empate,0,0,Mandante,Heber Roberto Lopes,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Fluminense,2015,4,31/05/2015,18:30,Domingo,05,Flamengo,Vitória,3,2,Visitante,Sandro Meira Ricci,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Fluminense,2015,5,04/06/2015,16:00,Quinta,06,Coritiba,Vitória,2,0,Mandante,Cleisson Veloso Pereira,27.4,4.3,181.3,5.9,26.5,3.3,179.5,5.7,Estádio do Maracanã
Fluminense,2015,6,07/06/2015,19:30,Domingo,06,Sport Recife,Empate,0,0,Mandante,Paulo Roberto Alves Junior,27.5,4.2,181.4,5.9,26.9,4.7,178.7,8.0,Estádio do Maracanã
Fluminense,2015,7,14/06/2015,16:00,Domingo,06,Palmeiras,Derrota,1,2,Visitante,Dewson Fernando Freitas da Silva,28.5,5.5,180.3,6.3,29.4,5.5,179.4,8.4,Nubank Parque
Fluminense,2015,8,24/06/2015,19:30,Quarta,06,Ponte Preta,Vitória,2,0,Mandante,Leandro Pedro Vuaden,26.8,4.7,181.2,5.6,27.8,3.6,178.2,6.2,Estádio do Maracanã
Fluminense,2015,9,28/06/2015,16:00,Domingo,06,Goiás,Vitória,2,1,Visitante,Luiz Flávio de Oliveira,28.4,5.3,180.7,5.9,24.6,3.1,179.3,6.0,Serra Dourada
Fluminense,2015,10,02/07/2015,21:00,Quinta,07,Santos,Vitória,2,1,Mandante,Ricardo Marques Ribeiro,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Fluminense,2015,11,05/07/2015,16:00,Domingo,07,São Paulo,Empate,0,0,Visitante,Leandro Pedro Vuaden,27.8,4.6,180.4,7.3,28.2,6.0,182.4,3.9,MorumBIS
Fluminense,2015,12,09/07/2015,21:00,Quinta,07,Cruzeiro,Vitória,1,0,Mandante,Heber Roberto Lopes,27.2,5.2,180.5,7.9,27.2,4.3,180.5,5.9,Estádio do Maracanã
Fluminense,2015,13,12/07/2015,16:00,Domingo,07,Athletico,Vitória,2,1,Visitante,Anderson Daronco,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena da Baixada
Fluminense,2015,14,19/07/2015,16:00,Domingo,07,Vasco da Gama,Derrota,1,2,Mandante,Luiz Flávio de Oliveira,26.8,4.6,180.8,6.9,27.8,4.5,182.7,5.1,Estádio do Maracanã
Fluminense,2015,15,26/07/2015,11:00,Domingo,07,Chapecoense,Derrota,1,2,Visitante,Raphael Claus,27.6,3.7,179.4,7.4,29.1,2.9,180.5,6.8,Arena Condá
Fluminense,2015,16,01/08/2015,18:30,Sábado,08,Grêmio,Vitória,1,0,Mandante,Wilton Pereira Sampaio,26.8,5.2,179.3,7.1,25.3,4.4,183.3,5.6,Estádio do Maracanã
Fluminense,2015,17,08/08/2015,18:30,Sábado,08,Avaí,Derrota,0,1,Visitante,Thiago Duarte Peixoto,28.5,6.2,179.3,6.2,28.5,4.5,178.6,7.2,Estádio da Ressacada
Fluminense,2015,18,12/08/2015,22:00,Quarta,08,Internacional,Derrota,0,1,Visitante,Flavio Rodrigues Guerra,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Beira-Rio
Fluminense,2015,19,16/08/2015,16:00,Domingo,08,Figueirense,Vitória,2,1,Mandante,Diego Almeida Real,27.7,4.3,180.1,6.0,26.2,3.4,181.1,4.5,Estádio do Maracanã
Fluminense,2015,20,23/08/2015,16:00,Domingo,08,Joinville,Derrota,1,2,Visitante,Emerson Luiz Sobral,27.0,4.2,180.2,7.1,25.4,5.5,180.5,4.8,Arena Joinville
Fluminense,2015,21,30/08/2015,16:00,Domingo,08,Atlético Mineiro,Derrota,1,2,Mandante,Marielson Alves Silva,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Fluminense,2015,22,02/09/2015,22:00,Quarta,09,Corinthians,Derrota,0,2,Visitante,Sandro Meira Ricci,27.5,4.9,180.2,6.8,27.7,5.9,180.4,9.2,Neo Química Arena
Fluminense,2015,23,06/09/2015,16:00,Domingo,09,Flamengo,Derrota,1,3,Mandante,Ricardo Marques Ribeiro,27.9,4.7,179.2,7.3,28.1,3.9,178.0,5.9,Estádio do Maracanã
Fluminense,2015,24,09/09/2015,22:00,Quarta,09,Coritiba,Empate,1,1,Visitante,Leandro Pedro Vuaden,25.1,5.1,180.7,7.9,28.0,4.6,176.9,6.3,Estádio Major Antônio Couto Pereira
Fluminense,2015,25,13/09/2015,18:30,Domingo,09,Sport Recife,Derrota,0,1,Visitante,Heber Roberto Lopes,25.2,5.0,180.6,6.9,27.7,3.3,182.5,6.3,Ilha do Retiro
Fluminense,2015,26,16/09/2015,19:30,Quarta,09,Palmeiras,Derrota,1,4,Mandante,Anderson Daronco,26.3,5.3,180.5,6.4,29.4,6.0,179.5,7.1,Estádio do Maracanã
Fluminense,2015,27,19/09/2015,21:00,Sábado,09,Ponte Preta,Derrota,1,3,Visitante,Andre Luiz de Freitas Castro,25.8,5.0,180.5,5.9,29.0,3.7,179.0,5.8,Moisés Lucarelli
Fluminense,2015,28,26/09/2015,18:30,Sábado,09,Goiás,Vitória,2,0,Mandante,Marielson Alves Silva,27.6,6.1,181.1,5.9,25.7,4.0,179.6,4.8,Estádio do Maracanã
Fluminense,2015,29,04/10/2015,16:00,Domingo,10,Santos,Derrota,1,3,Visitante,Sandro Meira Ricci,26.5,5.4,179.5,8.2,26.4,5.8,181.3,7.7,Estádio Urbano Caldeira
Fluminense,2015,30,14/10/2015,22:00,Quarta,10,São Paulo,Vitória,2,0,Mandante,Braulio Da Silva Machado,26.0,5.0,180.2,6.8,27.1,6.4,182.5,4.6,Estádio do Maracanã
Fluminense,2015,31,18/10/2015,10:00,Domingo,10,Cruzeiro,Derrota,0,2,Visitante,Andre Luiz de Freitas Castro,25.4,5.4,180.1,6.8,28.6,4.5,180.4,5.7,Governador Magalhães Pinto
Fluminense,2015,32,24/10/2015,16:00,Sábado,10,Athletico,Derrota,0,1,Mandante,Luiz Flávio de Oliveira,27.6,5.9,178.8,6.0,25.7,3.8,179.0,6.9,Estádio do Maracanã
Fluminense,2015,33,01/11/2015,17:00,Domingo,11,Vasco da Gama,Vitória,1,0,Visitante,Luiz Flávio de Oliveira,27.1,4.9,178.9,6.5,30.9,4.1,181.4,5.8,Estádio Nilton Santos
Fluminense,2015,34,07/11/2015,20:00,Sábado,11,Chapecoense,Derrota,2,3,Mandante,Nielson Nogueira Dias,26.2,4.6,178.5,7.1,28.9,2.6,179.5,9.1,Estádio do Maracanã
Fluminense,2015,35,19/11/2015,18:30,Quinta,11,Grêmio,Derrota,0,1,Visitante,Reway Wagner,28.3,4.4,178.0,7.4,25.4,4.2,180.5,7.2,Arena do Grêmio
Fluminense,2015,36,22/11/2015,18:30,Domingo,11,Avaí,Vitória,3,1,Mandante,Flavio Rodrigues Guerra,27.7,4.7,178.6,6.9,26.5,4.0,180.2,7.8,Estádio Kleber Andrade
Fluminense,2015,37,28/11/2015,18:30,Sábado,11,Internacional,Empate,1,1,Mandante,Marielson Alves Silva,25.6,5.0,179.5,6.3,26.8,4.6,180.5,5.4,Estádio do Maracanã
Fluminense,2015,38,06/12/2015,16:00,Domingo,12,Figueirense,Derrota,0,1,Visitante,Dewson Fernando Freitas da Silva,27.0,5.9,180.1,6.9,25.6,3.2,179.2,4.8,Orlando Scarpelli
Fluminense,2016,1,15/05/2016,16:00,Domingo,05,América Mineiro,Vitória,1,0,Visitante,Thiago Duarte Peixoto,28.3,4.3,180.8,6.4,28.1,4.0,182.3,4.9,Arena Independência
Fluminense,2016,2,21/05/2016,18:30,Sábado,05,Santa Cruz,Empate,2,2,Mandante,Jailson Macedo Freitas,29.2,4.4,179.8,6.8,28.9,4.9,181.7,5.9,Estádio Giulite Coutinho
Fluminense,2016,3,25/05/2016,21:45,Quarta,05,Palmeiras,Derrota,0,2,Visitante,Sandro Meira Ricci,29.7,3.4,179.7,6.8,25.9,5.8,178.6,6.8,Nubank Parque
Fluminense,2016,4,29/05/2016,16:00,Domingo,05,Botafogo,Vitória,1,0,Mandante,Marcelo Aparecido Ribeiro de Souza,28.7,4.6,181.5,6.0,25.9,5.2,181.0,6.3,Estádio Raulino de Oliveira
Fluminense,2016,5,01/06/2016,21:45,Quarta,06,Atlético Mineiro,Empate,1,1,Visitante,Luiz Flávio de Oliveira,27.4,5.0,181.5,5.8,27.2,4.4,180.2,6.8,Arena Independência
Fluminense,2016,6,04/06/2016,20:30,Sábado,06,Chapecoense,Empate,0,0,Visitante,Ricardo Marques Ribeiro,27.4,5.0,181.5,5.8,26.6,3.6,179.1,4.3,Arena Condá
Fluminense,2016,7,11/06/2016,18:30,Sábado,06,Grêmio,Empate,1,1,Mandante,Andre Luiz de Freitas Castro,26.9,4.7,179.6,6.7,27.8,4.3,179.9,7.7,Estádio Giulite Coutinho
Fluminense,2016,8,16/06/2016,20:00,Quinta,06,Corinthians,Vitória,1,0,Mandante,Ricardo Marques Ribeiro,26.7,4.8,179.5,7.0,26.6,2.1,178.8,6.1,Estádio Giulite Coutinho
Fluminense,2016,9,19/06/2016,16:00,Domingo,06,Sport Recife,Derrota,1,2,Visitante,Raphael Claus,26.7,4.8,179.5,7.0,28.9,5.8,178.2,8.0,Ilha do Retiro
Fluminense,2016,10,22/06/2016,21:45,Quarta,06,Santos,Derrota,2,4,Mandante,Rodolpho Toski Marques,29.5,5.7,177.7,7.0,24.7,5.3,182.3,7.5,Estádio Giulite Coutinho
Fluminense,2016,11,26/06/2016,16:00,Domingo,06,Flamengo,Vitória,2,1,Visitante,Luiz Flávio de Oliveira,28.6,5.4,180.0,6.1,27.8,3.8,182.0,5.9,Arena das Dunas
Fluminense,2016,12,29/06/2016,21:45,Quarta,06,São Paulo,Derrota,1,2,Visitante,Anderson Daronco,28.6,5.4,180.0,6.1,26.9,3.3,181.2,6.8,MorumBIS
Fluminense,2016,13,02/07/2016,16:00,Sábado,07,Coritiba,Empate,0,0,Mandante,Leandro Pedro Vuaden,29.6,4.9,179.9,6.6,27.0,5.2,176.6,7.2,Estádio Giulite Coutinho
Fluminense,2016,14,10/07/2016,19:30,Domingo,07,Vitória,Empate,0,0,Visitante,Marcelo Aparecido Ribeiro de Souza,28.8,5.1,178.6,6.7,26.3,4.6,179.3,8.8,Estádio Manoel Barradas
Fluminense,2016,15,17/07/2016,16:00,Domingo,07,Cruzeiro,Vitória,2,0,Mandante,Wilton Pereira Sampaio,26.9,4.6,180.0,8.2,28.1,4.5,180.8,5.9,Estádio Giulite Coutinho
